COUNTY,Store #,BusinessName,CITY,Date Range,Calendar Date,Month,Year,Consumer Sales,Licensee Sales,Store Count,Total Sales
Jackson,1026,Eagle Point Liquor Store,EAGLE POINT,TRUE,9/1/2020,9,2020,201721.94,22821.75,1,224543.69
Jackson,1026,Eagle Point Liquor Store,EAGLE POINT,TRUE,12/1/2020,12,2020,322331.06,8226.25,1,330557.31
Jackson,1026,Eagle Point Liquor Store,EAGLE POINT,TRUE,5/1/2021,5,2021,236316.75,26323,1,262639.75
Jackson,1026,Eagle Point Liquor Store,EAGLE POINT,TRUE,8/1/2021,8,2021,215045.71,27733.3,1,242779.01
Jackson,1026,Eagle Point Liquor Store,EAGLE POINT,TRUE,11/1/2021,11,2021,243566.29,29394.45,1,272960.74
Jackson,1026,Eagle Point Liquor Store,EAGLE POINT,TRUE,4/1/2022,4,2022,230555.42,36133.85,1,266689.27
Multnomah,1025,Gresham Liquor Store #1025,GRESHAM,TRUE,3/1/2017,3,2017,422721.57,169875,1,592596.57
Multnomah,1025,Gresham Liquor Store #1025,GRESHAM,TRUE,6/1/2017,6,2017,469166.55,123651.8,1,592818.35
Multnomah,1025,Gresham Liquor Store #1025,GRESHAM,TRUE,9/1/2017,9,2017,414581.7,149261.35,1,563843.05
Multnomah,1025,Gresham Liquor Store #1025,GRESHAM,TRUE,2/1/2018,2,2018,354980.1,130202.05,1,485182.15
Multnomah,1025,Gresham Liquor Store #1025,GRESHAM,TRUE,5/1/2018,5,2018,430469.17,150377.85,1,580847.02
Multnomah,1025,Gresham Liquor Store #1025,GRESHAM,TRUE,8/1/2018,8,2018,449854.45,147019.55,1,596874
Multnomah,1025,Gresham Liquor Store #1025,GRESHAM,TRUE,1/1/2019,1,2019,364243.25,131060.9,1,495304.15
Multnomah,1025,Gresham Liquor Store #1025,GRESHAM,TRUE,4/1/2019,4,2019,385058.5,142331.4,1,527389.9
Multnomah,1025,Gresham Liquor Store #1025,GRESHAM,TRUE,7/1/2019,7,2019,446148.79,131913.9,1,578062.69
Multnomah,1025,Gresham Liquor Store #1025,GRESHAM,TRUE,3/1/2020,3,2020,567756.45,73855.25,1,641611.7
Multnomah,1025,Gresham Liquor Store #1025,GRESHAM,TRUE,6/1/2020,6,2020,538714.04,58931.35,1,597645.39
Multnomah,1025,Gresham Liquor Store #1025,GRESHAM,TRUE,2/1/2021,2,2021,461343.74,85223.8,1,546567.54
Multnomah,1025,Gresham Liquor Store #1025,GRESHAM,TRUE,5/1/2021,5,2021,516313.3,109356.75,1,625670.05
Multnomah,1025,Gresham Liquor Store #1025,GRESHAM,TRUE,1/1/2022,1,2022,393655.7,120690.35,1,514346.05
Multnomah,1025,Gresham Liquor Store #1025,GRESHAM,TRUE,4/1/2022,4,2022,476901,142675.5,1,619576.5
Douglas,1029,Hometown Liquor & Company Stor,WINSTON,TRUE,10/1/2017,10,2017,98288.18,9343,1,107631.18
Douglas,1029,Hometown Liquor & Company Stor,WINSTON,TRUE,9/1/2018,9,2018,95918.55,9729.25,1,105647.8
Douglas,1029,Hometown Liquor & Company Stor,WINSTON,TRUE,12/1/2018,12,2018,134742.92,10372.4,1,145115.32
Douglas,1029,Hometown Liquor & Company Stor,WINSTON,TRUE,8/1/2019,8,2019,119434.64,12034.6,1,131469.24
Douglas,1029,Hometown Liquor & Company Stor,WINSTON,TRUE,11/1/2019,11,2019,125612.06,12620.7,1,138232.76
Douglas,1029,Hometown Liquor & Company Stor,WINSTON,TRUE,7/1/2020,7,2020,149940.6,13375.85,1,163316.45
Douglas,1029,Hometown Liquor & Company Stor,WINSTON,TRUE,10/1/2020,10,2020,149027.69,14445.75,1,163473.44
Douglas,1029,Hometown Liquor & Company Stor,WINSTON,TRUE,6/1/2021,6,2021,144816.98,16945.15,1,161762.13
Douglas,1029,Hometown Liquor & Company Stor,WINSTON,TRUE,9/1/2021,9,2021,138550.6,19075.65,1,157626.25
Douglas,1029,Hometown Liquor & Company Stor,WINSTON,TRUE,5/1/2022,5,2022,146923.21,17241.7,1,164164.91
Douglas,1029,Hometown Liquor & Company Stor,WINSTON,TRUE,8/1/2022,8,2022,154655.04,15973.45,1,170628.49
